"store","sku","name","extended_attribute"
"admin","dyn-cham127skis1213","Dynastar Cham 127 Skis","Radius | 22m, Sidecut | 149/127/141 mm, Camber Profile | Rocker/Camber, Core | Wood Fiber, Construction | Sandwich"
"admin","dyn-cham107skis1213","Dynastar Cham 107 Skis","Radius | 20m, Sidecut | 137/107/121 mm, Camber Profile | Rocker/Camber, Core | Wood Titanal, Construction | Sandwich"
"admin","dyn-cham97skis1213","Dynastar Cham 97 Skis","Radius | 16m, Sidecut | 133/97/112 mm, Camber Profile | Rocker/Camber, Core | Wood Titanal, Construction | Sandwich"
"admin","dyn-exclusiveedenskis1213","Dynastar Exclusive Eden Skis","Radius | 16m, Sidecut | 126/85/110 mm, Camber Profile | Rocker/Camber/Rocker, Core | Wood Fiber, Construction | Sandwich"
"admin","dyn-6thsensetwisterskis1213","Dynastar 6th Sense Twister Skis","Radius | 22m, Sidecut | 98/66/85 mm, Camber Profile | Traditional Camber, Core | Wood Fiber, Construction | Sandwich"
"admin","dyn-6thsensesuperpipeskis1213","Dynastar 6th Sense Superpipe Skis","Radius | 20m, Sidecut | 112/78/102 mm, Camber Profile | Traditional Camber, Core | Wood Fiber, Construction | Sandwich"
"admin","dyn-6thsenseserialskis1213","Dynastar 6th Sense Serial Skis","Radius | 15m, Sidecut | 110/80/103 mm, Camber Profile | Traditional Camber, Core | Wood Fiber, Construction | Sandwich"
"admin","dyn-teamcoursewcskis1213","Dynastar Team Course WC Skis","Radius | 15m, Sidecut | 105/66/87 mm, Camber Profile | Traditional Camber, Core | Wood Fiber, Construction | Sandwich"
"admin","dyn-teamcompskis1213","Dynastar Team Comp Skis","Radius | 12m, Sidecut | 111/67/97 mm, Camber Profile | Traditional Camber, Core | Wood Fiber, Construction | Sandwich"
"admin","dyn-outland87skis1213","Dynastar Outland 87 Skis w/ PX12 Fluid Bindings","Radius | 18m, Sidecut | 132/87/114 mm, Camber Profile | Rocker/Camber/Rocker, Core | Wood Fiber, Construction | Partial Sidewall"
"admin","dyn-exclusiveelitelightskis1213","Dynastar Exclusive Elite Light Skis w/ NX Exclusive Fluid Bindings","Radius | 14m, Sidecut | 120/73/104 mm, Camber Profile | Traditional Camber, Core | Lightcore, Construction | Sandwich"
"admin","blz-gunsmokeskis1213","Blizzard Gunsmoke Skis"," Radius | 23m (@186 cm), Sidecut | 141/114/130 mm, Camber Profile | Rocker/Camber/Rocker, Core | Wood, Construction | Flipcore"
"admin","blz-cochiseskis1213","Blizzard Cochise Skis","Radius | 28.5m (@185 cm), Sidecut | 135/108/123 mm, Camber Profile | Full Rocker, Core | Wood/Titanium, Construction | Flipcore"
"admin","blz-bonafideskis1213","Blizzard Bonafide Skis","Radius | 21m (@180 cm), Sidecut | 133/98/118 mm, Camber Profile | Rocker/Camber/Rocker, Core | Wood/Titanium, Construction | Flipcore"
"admin","blz-mpowerfsskis1213","Blizzard M-Power FS Skis","Radius | 19m (@174 cm), Sidecut | 125/85/111 mm, Camber Profile | Rocker/Camber/Rocker, Core | Wood/Titanium/Carbon, Construction | Flipcore"
"admin","blz-magnum85tiskis1213","Blizzard Magnum 8.5 TI Skis","Radius | 19m (@174 cm), Sidecut | 125/85/111 mm, Camber Profile | Rocker/Camber/Rocker, Core | Wood/Titanium, Construction | Flipcore"
"admin","blz-bodaciousskis1213","Blizzard Bodacious Skis","Radius | 32m (@186 cm), Sidecut | 142/118/132 mm, Camber Profile | Full Rocker, Core | Wood, Construction | Sandwich"
"admin","blz-sambaskis1213","Blizzard Samba Skis","Radius | 20m (@173 cm), Sidecut | 131/98/116 mm, Camber Profile | Rocker/Camber/Rocker, Core | Wood, Construction | Flipcore"
"admin","blz-blackpearlskis1213","Blizzard Black Pearl Skis","Radius | 18m (@173 cm), Sidecut | 125/88/110 mm, Camber Profile | Rocker/Camber/Rocker, Core | Light Wood, Construction | Flipcore"
"admin","blz-kabookieskis1213","Blizzard Kabookie Skis","Radius | 21m (@180 cm), Sidecut | 133/98/118 mm, Camber Profile | Rocker/Camber/Rocker, Core | Wood, Construction | Flipcore"
"admin","blz-vivaiqjrskissmall1213","Blizzard Viva IQ Jr. Skis - Small","Radius | 9m (@130 cm), Sidecut | 107/68/95 mm, Camber Profile | Traditional Camber, Core | Fiber Compound, Construction | Cap/IQ System"
"admin","blz-vivaiqjrskislarge1213","Blizzard Viva IQ Jr. Skis - Large","Radius | 9m (@130 cm), Sidecut | 107/68/95 mm, Camber Profile | Traditional Camber, Core | Fiber Compound, Construction | Cap/IQ System"
"admin","blz-gunsmokeiqjrskissmall1213","Blizzard Gunsmoke IQ Jr. Skis - Small","Radius | 9m (@129 cm), Sidecut | 104/70/92 mm, Camber Profile | Traditional Camber, Core | Fiber Compound, Construction | Cap/IQ System"
"admin","blz-gunsmokeiqjrskislarge1213","Blizzard Gunsmoke IQ Jr. Skis - Large","Radius | 9m (@129 cm), Sidecut | 104/70/92 mm, Camber Profile | Traditional Camber, Core | Fiber Compound, Construction | Cap/IQ System"
"admin","blz-viva76iqskis1213","Blizzard Viva 7.6 IQ Skis","Radius | 13m (@156 cm), Sidecut | 122/76/105 mm, Camber Profile | Camber/Camber/Rocker, Core | Wood/Fiberglass, Construction | Cap/IQ System"
"admin","blz-viva80skis1213","Blizzard Viva 8.0 Skis","Radius | 16m (@165 cm), Sidecut | 120/80/105 mm, Camber Profile | Rocker/Camber/Rocker, Core | Wood/Carbon, Construction | Sandwich"
"admin","blz-magnum80caskis1213","Blizzard Magnum 8.0 CA Skis","Radius | 17m (@172 cm), Sidecut | 122/80/107 mm, Camber Profile | Rocker/Camber/Rocker, Core | Wood/Carbon, Construction | Sandwich"
"admin","blz-slmagnesiumpowerskis1213","Blizzard SL Magnesium Power Skis","Radius | 13m (@165 cm), Sidecut | 114/66.5/102 mm, Camber Profile | Traditional Camber, Core | Wood/Magnesium/Titanium/Carbon, Construction | Sandwich"
"admin","blz-gsmagnesiumpowerskis1213","Blizzard GS Magnesium Power Skis","Radius | 20m (@182 cm), Sidecut | 115/71/100 mm, Camber Profile | Traditional Camber, Core | Wood/Magnesium/Titanium/Carbon, Construction | Sandwich"
"admin","blz-slracejuniorskis1213","Blizzard SL Race Junior Skis","Radius | 10.2m (@136 cm), Sidecut | 109/64/94 mm, Camber Profile | Traditional Camber, Core | Wood/Magnesium/Titanium, Construction | Sandwich"
"admin","blz-gsracejuniorskis1213","Blizzard GS Race Junior Skis","Radius | 16.5m (@156 cm), Sidecut | 104/65/89 mm, Camber Profile | Traditional Camber, Core | Wood/Magnesium/Titanium, Construction | Sandwich"
